text,reasoning_label
"Обладание серединой в хвастовстве и притворстве связано почти с тем же самым, но и оно безымянно. Не худо, однако, разобрать и такие душевные склады, ибо мы, пожалуй, больше узнаем, что относится к нраву, разобрав каждый нрав по отдельности, и мы скорее уверимся, что добродетели состоят в обладания серединой, поняв, что во всех случаях это так. Уже были названы те, кто в общении при совместной жизни доставляют удовольствие или причиняют страдания, а теперь поговорим о правдивых и обманщиках как в речах, так и в поступках и в приписывании себе чего — либо. Принято считать, что хвастун склонен приписывать себеславное — то чего у него нет, или большее, чем у него есть, а притвора, наоборот, отрицает, что у него есть то что у него есть, или преуменьшает это, тот же, кто держится середины, как человек «прямой что ли , — и в поведении, и в речах правдивый , признающий, что владеет тем, что у него есть, не больше и не меньше. Все это можно делать и с определенной целью, и просто так. И если поступки не преследуют известную цель, то каков каждый человек по складу, таковы его слова и поступки, так они живет. Обман сам по себе дурен и заслуживает осуждения, а правда прекрасна и заслуживает похвалы. Так и правдивый человек как держащийся середины, заслуживает похвалы, а обманывающий — безразлично в какую сторону — заслуживает осуждения , нов большей степени — хвастун. Мы скажем о каждом из них, но сперва о правдивом. Речь идет, конечно, о правдивом не в договорах и не в том, что касается неправосудности или правосудности это ведь будет относиться к другой добродетели, а о правдивом в том, для чего ничто в этом роде не имеет важности, о правдивом в речи и в поведении, потому что он таков по своему складу. Такого, вероятно, будут считать добрым человеком. Действительно, кто правдолюб и правдив, даже когда это не важно, будет тем более правдив, когда это важно, ведь обмана он будет заведомо остерегаться как позора, если уж он остерегается его как такового, а такой человек заслуживает похвалы. Он отклоняется о т правды, скорее, в сторону преуменьшения, потому что из — за отвратительности преувеличения преуменьшение кажется более пристойным. Кто приписывает себе больше, чем у него есть, безо всяк ой цели, похож на дурного человека иначе он не радовался бы обману, но он кажется более пустым, нежели порочным. Если же это делают ради какой — то цели, то чья цель — честь или слава, тот как хвастун заслуживает осуждения, ноне слишком сурового, а чья цель — деньги или что ведет к деньгам, тот довольно — таки непригляден. Хвастуном человека делает не возможность хвастать , а сознательный выбор, ибо хвастуном он является по складу и потому, что он таков. Соответственно и среди обманщиков один рад самому обману, а другой стремится к славе или наживе. Стало быть, те , кто хвастают ради славы, приписывают себе такое, за что их восхваляют и почитают счастливцами, а кто делает это ради наживы, приписывает себе то чем можно угодить окружающим и отсутствие чего можно скрыть, — скажем, знания прорицателя, мудреца, врача. Поэтому в большинстве случаев себе приписывают такого рода вещи и хвастают ими: Они ведь имеют названные свойства. Притворы, которые говорят о себе приниженно и на словах отклоняются в сторону преуменьшения, представляются людьми, скорее, обходительного нрава ; кажется, что они говорят так не ради наживы, но избегая важничанья, и прежде всего они отказывают себе в славном, как делал, например, Сократ. Те, кто притворяются по ничтожным поводам, когда очевидно обратное, называются лицемерами и вполне заслуживают презрения, а иногда это оказывается хвастовством, ибо и излишек, и нарочитый недостаток могут быть хвастливыми. А кто умеренно прибегают к притворству и притворяются не в том, что слишком бросается в глаза те кажутся обходительными. Правдивому, по — видимому, противоположен хвастун, ибо он хуже притворы.",1
"Кому своевременность — единственное благо, для кого равно, совершить ли больше деяний сообразно с прямым разумом или же меньше; кому безразлично, созерцать ли мир большее или меньшее время, тому не страшна и смерть.",1
"Если кто поставит тебе вопрос, как пишется имя Антонин, неужели ты будешь произносить каждую букву с натугой? Ну а станет сердиться, так рассердишься и ты? Разве не перечислишь тихо все знаки поочередно? Точно так и здесь: помни, что всякое надлежащее слагается из определенных числ. Это имей в виду и не смущайся, на негодующих не негодуй, четко исполняй свое задание.",1
"Дергает тебя что-нибудь вторгающееся извне? — Ну так дай себе досуг на то, чтобы узнать вновь что-нибудь хорошее, брось волчком вертеться. Правда же, остерегаться надо и другого поворота дела: ведь глупец и тот, кто деянием заполнил жизнь до изнеможения, а цели-то, куда направить все устремление, да разом и представление, не имеет",1
"У всякого своя радость. У меня вот — когда здраво мое ведущее и не отвращается ни от кого из людей и ни от чего, что случается с людьми, а напротив, взирает на все доброжелательным взором, все приемлет и всем распоряжается по достоинству",1
"Двор Августа, жена, дочь, внуки, пасынки, сестра, Агриппа, родственники, домашние, друзья, Арий, Меценат, врачи, жрецы-гадатели — смерть всего этого двора. Потом переходи к другим и не так, чтобы смерть людей по отдельности, а вроде как Помпеи. А еще то что пишут на памятниках: Последний в роду. Прикинуть, сколько терзаний было у предков о каком-нибудь наследнике, а потом и то что должен же кто-нибудь быть последним. А потом опять смерть всего рода.",1
"Ищут себе уединения в глуши, у берега моря, в горах. Вот и ты об этом тоскуешь. Только как уж по-обывательски все это, когда можно пожелать только и сей же час уединиться в себе. А нигде человек не уединяется тише и покойнее, чем у себя в душе, особенно если внутри у него тона что чуть взглянув он сразу же обретает совершеннейшую благоустроенность — под благоустроенностью я разумею нечто иное, как благоустроение. Вот и давай себе постоянно такое уединение и обновляй себя. И пусть кратким и основополагающим будет то что, едва выйдя навстречу, всю ее омоет и отпустит тебя уже не сетующим на то, к чему ты возвращаешься. Правда, на что ты сетуешь? на порочность людей? Так повтори себе суждение о том, что существа разумные рождены одно для другого, что часть справедливости — сносить и что против воли проступки; и то вспомни, сколько уж их, кто жили во вражде, подозрениях, ненависти и драке, потом протянули ноги и сгорели, — и перестань наконец. Или ты сетуешь на то, что уделено тебе из целого? Так обнови в уме обе возможности: или промысел, или атомы; а также все то, откуда доказано было, что мир подобен городу. Или вновь затронет тебя телесное? Ноты же понял, что мысль не смешивается с гладкими или шероховатыми движениями дыхания, если она однажды обрела себя и узнала присущую ей власть и прочее, что ты слушал о наслаждении и боли, с чем и сам согласился. Или издергает тебя честолюбие? Ноты же видел, как быстро забывается все, как зияет вечность, бесконечная в обе стороны, как пуст этот звон, как переменчиво и неопределенно то что мнится зависящим от нас, также и узость места, которым все это ограничено. Ведь и вся-то земля — точка, а уж какой закоулок это вот селенье, и опять же — сколько их, кто восхваляет, и каковы они. Вот и помни на будущее об уединении в этих твоих полях: прежде всего не дергайся, не напрягайся — будь свободен и смотри на вещи как мужчина, человек, гражданин, как существо смертное. И пусть прямо под рукой будет у тебя двойственное, на что можно быстро бросить взгляд. Одно — что вещи души не касаются и стоят недвижно вне ее, а досаждает только внутреннее признание. И второе: все, что ни видишь, скоро подвергнется превращению и больше не будет — постоянно помышляй, скольких превращений ты и сам был уже свидетель. Мир — изменение, жизнь — признание.",1
"Един свет солнца, хоть и загораживают его стены, горы, тысячи других вещей. Едино общее естество, хоть и перегорожено тысячами качественно различных тел. Едина душа, хоть и на тысячи разгорожена пород и особых очертаний. Едина разумная душа, хоть и кажется, что она различена. Так вот, одна часть упомянутого, как дыхание и предметы, бесчувственны и не расположены друг к другу, но даже и в них есть ум и тяготение к одному и тому же А уж разумная тяга возникает особенно к единоплеменному, и установившись, не преграждается общестрастие.",1
"Следует признать, что величайшие беды, которые угнетают нравственно облагороженные народы, возникают из-за войны, причем не столько настоящей или бывшей, сколько из-за никогда не ослабевающих и даже непрерывно увеличивающихся приготовлений к войне будущей. На это тратятся все силы государства, все плоды его культуры, которые могли бы употребляться для еще большего обогащения последней; свободе повсеместно наносится весьма сильный ущерб, а материнская заботливость государства о своих отдельных членах превращается в безжалостно суровые требования, которым находят, однако, оправдания в заботах о внешней безопасности.",1
"Спорят и о счастливом, будет ли он нуждаться в друзьях или нет. Некоторые утверждают, что у блаженных и само достаточных нет никакой надобности в друзьях, потому что как таковы е блага у них имеются. А значит, как самодостаточные, они нив ч ем дополнительно не нуждаются, между тем друг, будучи вторым «я», дает как раз только то что человек не способен получить благодаря самому себе; отсюда изречение: «Когда добром дарит демон , что нужды в друзьях!». Но ведь это, похоже, нелепость: Приписывая счастливому все блага, не дать ему друзей — того, что считается самым важным из внешних благ! И вот если другу свойственнее делать добро, а не принимать, и оказывать благодеяния — свойство добродетельного и добродетели, и, наконец, если делать добро друзьям прекраснее, чем посторонним, то добропорядочный человек будет нуждаться в тех, кто примет его благодеяния. Поэтому следующий вопрос о том, при удачах или при неудачах больше надобность в друзьях, если иметь в виду, что и неудачник нуждается в тех, кто будут ему благодетелями, и удачливые — в тех, кому они будут делать добро. Вероятно, нелепо также делать блаженного одиночкой, ибо никто не избрал бы обладание благом для себя одного; действительно, человек — общественное существо, и жизнь сообща прирожден а ему. Значит, эти черты есть и у счастливого, ведь он от природы имеет блага, между тем ясно, что с друзьями и добрыми людьми лучше проводить дни, нежели с посторонними и случайными. Следовательно, у счастливого есть нужда в друзьях. Что же в таком случае имеют в виду те, первые, и в каком отношении они говорят правду? Не в том ли дело, что большинство считают друзьями полезных людей? Нов таких блаженный, конечно, ничуть не будет нуждаться, поскольку блага у него имеются, а тогда не будет нужды и в друзьях ради удовольствия, разве только в ничтожной степени ибо раз жизнь сама по себе доставляет удовольствие, не нужно никакого удовольствия, привлекаемого извне. И вот, поскольку блаженный не нуждается в друзьях такого рода, кажется, что он не нуждается в друзьях вообще. Но это, видимо, неправда. В начале уже было сказано , что счастье — это своего рода деятельность; ясно между тем, что деятельность возникает, а не наличествует, наподобие своего рода приобретения. Если же быть счастливым — значит жить и действовать и деятельность добродетельного сама по себе добропорядочна и доставляет, как было сказано в начале, удовольствие, и если родственное — это тоже одна из вещей, доставляющих удовольствие , причем окружающих мы скорее способны созерцать, нежели сам их себя, и их поступки — скорее, нежели собственные, и если, наконец, поступки добропорядочных людей — и друзей при этом — доставляют добродетельным удовольствие ибо в них содержатся об а естественных удовольствия — от естественного и от добропорядочного — то, стало быть, блаженный будет нуждаться в таких друзьях, если только он действительно предпочитает созерцание добрых и родственных ему поступков, поступки же добродетельного человека, являющегося другом, именно таковы. Предполагается далее, что счастливый человек должен жить с удовольствием. Однако для одиночки жизнь тягостна, потому что трудно непрерывно быть самому по себе деятельным, зато с другими и по отношению к другим это легко. Деятельность, сама по себе доставляющая удовольствие, будет тогда непрерывнее, как и должно быть у блаженного. В самом деле, добропорядочный в меру своей добропорядочности наслаждается поступками сообразными добродетели и отвергает то что от порочности, подобно тому как музыкант находит удовольствие в красивых напевах и страдает от дурных. От жизни сообща с добродетельными, как утверждает и Феогнид, получается даже что — то вроде упражнения в добродетели. При внимательном рассмотрении вопроса, скорее с точки зрения природы, кажется, что добропорядочный друг по природе заслуживает избрания для добропорядочного. Сказано ведь, что благо по природе для добропорядочного само по себе является благом и доставляет ему удовольствие. Понятие: «Жить» для животных определяется по способности чувствовать, а для людей — по способности чувствовать и понимать . Способность не возводится к деятельности, ибо главное заключено в деятельности. Таким образом , видимо, «жить» — значит собственно «чувствовать» или «понимать». «Жить» между тем относится к благам и удовольствиям самим по себе, потому что жизнь определенна, а определенность принадлежит природе собственно блага, но что благо по природе, является благом и для добр ого человека, так что, видимо, всем жизнь доставляет удовольствие. Но ни плохую жизнь, ни растленную, ни жизнь в страданиях не следует принимать во внимание, потому что такая жизнь лишена определенности, так же как и ее содержание. О страдании в дальнейшем изложении будет сказано яснее. Если же сама «жизнь» — благо и удовольствие это видно из того, что все стремятся к ней, и особенно добрые люди и блаженные, ибо для них в первую очередь жизнь достойна избрания и существование их , и если видящий чувствует, что он видит, и слышащий, что он слышит, а идущий, что идет, и соответственно и в других случаях есть нечто чувствующее , что мы действуем, так что мы, пожалуй, чувствуем , что чувствуем, и понимаем, что понимаем, а чувствовать, что мы чувствуем или понимаем, значит чувствовать, что мы существу ем ибо «быть» определено как чувствовать или понимать, и если чувство жизни относится к вещам, которые сами по себе доставляют удовольствие потому что жизнь — благо по природе, а чувствовать благо, имеющееся в самом себе, доставляет удовольствие, и если жизнь есть предмет избрания, причем в первую очередь для добродетельных, потому что бытие для них благо и удовольствие ведь , чувствуя в себе благо само по себе, они получают удовольствие, и если добропорядочный относится к другу, как к самому себе ибо друг — это второй он сам, если все это так, то для каждого человека как собственное бытие — предмет избрания, так же или почти так и бытие друг а. Между тем бытие, как мы знаем, есть предмет избрания благодаря чувству, что сам человек добродетелен, а такое чувство доставляет удовольствие само по себе. Следовательно, нам нужно чувствовать в себе, что добродетель друга тоже существует, а это получится при жизни сообща и при общности речей и мысли . О «жизни сообща» применительно к людям а не о выпасе на одном и том же месте, как в случае со скотом говорят, наверно, имея в виду именно это. Итак, если для блаженного бытие заслуживает избрани я само по себе, как благо по природе и удовольствие, и если почти так же он относится к бытию друга, тои друг будет, пожалуй, одним из предметов, заслуживающих избрания. А что для блаженного предмет избрания, то должно у него быть в наличии, в противном случае он будет в этом отношении нуждающимся. Следовательно, кто будет считаться «счастливым», будет нуждаться в добропорядочных друзьях.",1
